#Level 1 Data
# PI: P. Goloub (mailto: philippe.goloub@univ-lille1.fr)
#Time    Z(km)     Ln(Pr2) 
10.0525 0.392347 15.9442
10.0525 0.396755 15.9419
10.0525 0.401163 15.9392
10.0525 0.405572 15.9385
10.0525 0.40998 15.9347
10.0525 0.414389 15.9342
10.0525 0.418797 15.9332
10.0525 0.423205 15.9311
10.0525 0.427614 15.9293
10.0525 0.432022 15.9259
10.0525 0.436431 15.9266
10.0525 0.440839 15.9229
10.0525 0.445247 15.921
10.0525 0.449656 15.9149
10.0525 0.454064 15.9144
10.0525 0.458472 15.9153
10.0525 0.462881 15.9106
10.0525 0.467289 15.9071
10.0525 0.471698 15.9017
10.0525 0.476106 15.8998
10.0525 0.480514 15.9008
10.0525 0.484923 15.8953
10.0525 0.489331 15.8923
10.0525 0.49374 15.8887
10.0525 0.498148 15.8883
10.0525 0.502556 15.887
10.0525 0.506965 15.8824
10.0525 0.511373 15.8803
10.0525 0.515782 15.8759
10.0525 0.52019 15.8728
10.0525 0.524598 15.872
10.0525 0.529007 15.8699
10.0525 0.533415 15.8675
10.0525 0.537823 15.8664
10.0525 0.542232 15.8659
10.0525 0.54664 15.8649
10.0525 0.551049 15.8614
10.0525 0.555457 15.8622
10.0525 0.559865 15.8589
10.0525 0.564274 15.8569
10.0525 0.568682 15.8576
10.0525 0.573091 15.8601
10.0525 0.577499 15.8525
10.0525 0.581907 15.852
10.0525 0.586316 15.8535
10.0525 0.590724 15.8508
10.0525 0.595133 15.8496
10.0525 0.599541 15.8467
10.0525 0.603949 15.8432
10.0525 0.608358 15.8367
10.0525 0.612766 15.8407
10.0525 0.617175 15.8392
10.0525 0.621583 15.8342
10.0525 0.625991 15.8322
10.0525 0.6304 15.8276
10.0525 0.634808 15.8278
10.0525 0.639216 15.8241
10.0525 0.643625 15.8224
10.0525 0.648033 15.8243
10.0525 0.652442 15.8189
10.0525 0.65685 15.8173
10.0525 0.661258 15.8159
10.0525 0.665667 15.8159
10.0525 0.670075 15.8034
10.0525 0.674484 15.8057
10.0525 0.678892 15.8073
10.0525 0.6833 15.8066
10.0525 0.687709 15.8051
10.0525 0.692117 15.8079
10.0525 0.696526 15.804
10.0525 0.700934 15.8013
10.0525 0.705342 15.7953
10.0525 0.709751 15.7917
10.0525 0.714159 15.79
10.0525 0.718567 15.79
10.0525 0.722976 15.7902
10.0525 0.727384 15.786
10.0525 0.731793 15.7849
10.0525 0.736201 15.7877
10.0525 0.740609 15.7893
10.0525 0.745018 15.7836
10.0525 0.749426 15.7796
10.0525 0.753835 15.7791
10.0525 0.758243 15.7745
10.0525 0.762651 15.7677
10.0525 0.76706 15.7654
10.0525 0.771468 15.7618
10.0525 0.775877 15.7648
10.0525 0.780285 15.757
10.0525 0.784693 15.7627
10.0525 0.789102 15.7626
10.0525 0.79351 15.7561
10.0525 0.797918 15.7544
10.0525 0.802327 15.7501
10.0525 0.806735 15.7535
10.0525 0.811144 15.7494
10.0525 0.815552 15.7482
10.0525 0.81996 15.7504
10.0525 0.824369 15.7563
10.0525 0.828777 15.7551
10.0525 0.833186 15.7563
10.0525 0.837594 15.7604
10.0525 0.842002 15.7565
10.0525 0.846411 15.7523
10.0525 0.850819 15.7458
10.0525 0.855228 15.7431
10.0525 0.859636 15.739
10.0525 0.864044 15.7404
10.0525 0.868453 15.7361
10.0525 0.872861 15.7307
10.0525 0.877269 15.7314
10.0525 0.881678 15.7246
10.0525 0.886086 15.7304
10.0525 0.890495 15.7277
10.0525 0.894903 15.7254
10.0525 0.899311 15.7221
10.0525 0.90372 15.7263
10.0525 0.908128 15.7328
10.0525 0.912537 15.7327
10.0525 0.916945 15.7313
10.0525 0.921353 15.7259
10.0525 0.925762 15.728
10.0525 0.93017 15.7241
10.0525 0.934579 15.723
10.0525 0.938987 15.7226
10.0525 0.943395 15.7211
10.0525 0.947804 15.7241
10.0525 0.952212 15.7202
10.0525 0.95662 15.7197
10.0525 0.961029 15.7218
10.0525 0.965437 15.7094
10.0525 0.969846 15.7128
10.0525 0.974254 15.7211
10.0525 0.978662 15.7135
10.0525 0.983071 15.7141
10.0525 0.987479 15.7139
10.0525 0.991888 15.7067
10.0525 0.996296 15.7094
10.0525 1.0007 15.7134
10.0525 1.00511 15.7064
10.0525 1.00952 15.7027
10.0525 1.01393 15.7044
10.0525 1.01834 15.6946
10.0525 1.02275 15.6939
10.0525 1.02715 15.6915
10.0525 1.03156 15.6942
10.0525 1.03597 15.6874
10.0525 1.04038 15.6819
10.0525 1.04479 15.6844
10.0525 1.0492 15.682
10.0525 1.05361 15.6723
10.0525 1.05801 15.6865
10.0525 1.06242 15.6804
10.0525 1.06683 15.6719
10.0525 1.07124 15.6656
10.0525 1.07565 15.6648
10.0525 1.08006 15.6539
10.0525 1.08446 15.6601
10.0525 1.08887 15.6578
10.0525 1.09328 15.6484
10.0525 1.09769 15.6472
10.0525 1.1021 15.6552
10.0525 1.10651 15.6529
10.0525 1.11091 15.655
10.0525 1.11532 15.6492
10.0525 1.11973 15.6383
10.0525 1.12414 15.6328
10.0525 1.12855 15.6242
10.0525 1.13296 15.6117
10.0525 1.13736 15.593
10.0525 1.14177 15.5895
10.0525 1.14618 15.5874
10.0525 1.15059 15.585
10.0525 1.155 15.5734
10.0525 1.15941 15.566
10.0525 1.16381 15.5631
10.0525 1.16822 15.5481
10.0525 1.17263 15.5371
10.0525 1.17704 15.5265
10.0525 1.18145 15.5121
10.0525 1.18586 15.4983
10.0525 1.19027 15.4784
10.0525 1.19467 15.4701
10.0525 1.19908 15.4568
10.0525 1.20349 15.4515
10.0525 1.2079 15.4444
10.0525 1.21231 15.4443
10.0525 1.21672 15.432
10.0525 1.22112 15.4405
10.0525 1.22553 15.4357
10.0525 1.22994 15.4196
10.0525 1.23435 15.4271
10.0525 1.23876 15.4247
10.0525 1.24317 15.4253
10.0525 1.24757 15.4155
10.0525 1.25198 15.4168
10.0525 1.25639 15.42
10.0525 1.2608 15.4173
10.0525 1.26521 15.4199
10.0525 1.26962 15.404
10.0525 1.27402 15.4083
10.0525 1.27843 15.4122
10.0525 1.28284 15.4183
10.0525 1.28725 15.4062
10.0525 1.29166 15.4038
10.0525 1.29607 15.4014
10.0525 1.30047 15.4045
10.0525 1.30488 15.4087
10.0525 1.30929 15.4054
10.0525 1.3137 15.3984
10.0525 1.31811 15.3962
10.0525 1.32252 15.407
10.0525 1.32693 15.3967
10.0525 1.33133 15.3965
10.0525 1.33574 15.4035
10.0525 1.34015 15.4
10.0525 1.34456 15.4052
10.0525 1.34897 15.4014
10.0525 1.35338 15.4007
10.0525 1.35778 15.41
10.0525 1.36219 15.4064
10.0525 1.3666 15.4037
10.0525 1.37101 15.4126
10.0525 1.37542 15.3993
10.0525 1.37983 15.4089
10.0525 1.38423 15.4025
10.0525 1.38864 15.4003
10.0525 1.39305 15.3983
10.0525 1.39746 15.4125
10.0525 1.40187 15.4164
10.0525 1.40628 15.4217
10.0525 1.41068 15.4122
10.0525 1.41509 15.4008
10.0525 1.4195 15.4033
10.0525 1.42391 15.4178
10.0525 1.42832 15.4138
10.0525 1.43273 15.4084
10.0525 1.43713 15.4025
10.0525 1.44154 15.4054
10.0525 1.44595 15.4112
10.0525 1.45036 15.4144
10.0525 1.45477 15.415
10.0525 1.45918 15.4163
10.0525 1.46359 15.4058
10.0525 1.46799 15.4141
10.0525 1.4724 15.4225
10.0525 1.47681 15.4221
10.0525 1.48122 15.4263
10.0525 1.48563 15.4137
10.0525 1.49004 15.4117
10.0525 1.49444 15.4158
10.0525 1.49885 15.418
10.0525 1.50326 15.426
10.0525 1.50767 15.4216
10.0525 1.51208 15.4173
10.0525 1.51649 15.4196
10.0525 1.52089 15.4155
10.0525 1.5253 15.4171
10.0525 1.52971 15.4239
10.0525 1.53412 15.421
10.0525 1.53853 15.4087
10.0525 1.54294 15.416
10.0525 1.54734 15.428
10.0525 1.55175 15.4234
10.0525 1.55616 15.4231
10.0525 1.56057 15.425
10.0525 1.56498 15.4151
10.0525 1.56939 15.4103
10.0525 1.5738 15.4177
10.0525 1.5782 15.4219
10.0525 1.58261 15.4095
10.0525 1.58702 15.4088
10.0525 1.59143 15.4105
10.0525 1.59584 15.4138
10.0525 1.60025 15.438
10.0525 1.60465 15.4103
10.0525 1.60906 15.4193
10.0525 1.61347 15.4056
10.0525 1.61788 15.4049
10.0525 1.62229 15.421
10.0525 1.6267 15.4229
10.0525 1.6311 15.4146
10.0525 1.63551 15.4012
10.0525 1.63992 15.4044
10.0525 1.64433 15.4197
10.0525 1.64874 15.4104
10.0525 1.65315 15.417
10.0525 1.65755 15.422
10.0525 1.66196 15.4033
10.0525 1.66637 15.4111
10.0525 1.67078 15.4174
10.0525 1.67519 15.4143
10.0525 1.6796 15.4129
10.0525 1.684 15.4123
10.0525 1.68841 15.4144
10.0525 1.69282 15.4225
10.0525 1.69723 15.4268
10.0525 1.70164 15.4118
10.0525 1.70605 15.4197
10.0525 1.71046 15.4163
10.0525 1.71486 15.4138
10.0525 1.71927 15.4166
10.0525 1.72368 15.4192
10.0525 1.72809 15.4262
10.0525 1.7325 15.4224
10.0525 1.73691 15.4073
10.0525 1.74131 15.3958
10.0525 1.74572 15.4242
10.0525 1.75013 15.4229
10.0525 1.75454 15.4325
10.0525 1.75895 15.4382
10.0525 1.76336 15.4459
10.0525 1.76776 15.4269
10.0525 1.77217 15.4177
10.0525 1.77658 15.4207
10.0525 1.78099 15.433
10.0525 1.7854 15.4284
10.0525 1.78981 15.4259
10.0525 1.79421 15.4358
10.0525 1.79862 15.4333
10.0525 1.80303 15.4357
10.0525 1.80744 15.4417
10.0525 1.81185 15.4425
10.0525 1.81626 15.4494
10.0525 1.82066 15.4349
10.0525 1.82507 15.4455
10.0525 1.82948 15.4343
10.0525 1.83389 15.4324
10.0525 1.8383 15.4164
10.0525 1.84271 15.3997
10.0525 1.84712 15.381
10.0525 1.85152 15.3696
10.0525 1.85593 15.3515
10.0525 1.86034 15.334
10.0525 1.86475 15.3246
10.0525 1.86916 15.332
10.0525 1.87357 15.3023
10.0525 1.87797 15.2952
10.0525 1.88238 15.2895
10.0525 1.88679 15.2932
10.0525 1.8912 15.2867
10.0525 1.89561 15.2651
10.0525 1.90002 15.2621
10.0525 1.90442 15.2701
10.0525 1.90883 15.2521
10.0525 1.91324 15.2511
10.0525 1.91765 15.2529
10.0525 1.92206 15.2558
10.0525 1.92647 15.2471
10.0525 1.93087 15.2484
10.0525 1.93528 15.2572
10.0525 1.93969 15.2411
10.0525 1.9441 15.254
10.0525 1.94851 15.2384
10.0525 1.95292 15.2353
10.0525 1.95732 15.2254
10.0525 1.96173 15.2123
10.0525 1.96614 15.2124
10.0525 1.97055 15.2305
10.0525 1.97496 15.2035
10.0525 1.97937 15.189
10.0525 1.98378 15.1927
10.0525 1.98818 15.1876
10.0525 1.99259 15.199
10.0525 1.997 15.1965
10.0525 2.00141 15.1917
10.0525 2.00582 15.1767
10.0525 2.01023 15.1799
10.0525 2.01463 15.1686
10.0525 2.01904 15.1364
10.0525 2.02345 15.1218
10.0525 2.02786 15.1119
10.0525 2.03227 15.0951
10.0525 2.03668 15.0606
10.0525 2.04108 15.0532
10.0525 2.04549 15.0472
10.0525 2.0499 15.0135
10.0525 2.05431 15.0133
10.0525 2.05872 15.0133
10.0525 2.06313 15.0291
10.0525 2.06753 15.0192
10.0525 2.07194 15.0165
10.0525 2.07635 15.0229
10.0525 2.08076 14.9921
10.0525 2.08517 14.9905
10.0525 2.08958 14.9949
10.0525 2.09398 14.9988
10.0525 2.09839 14.9845
10.0525 2.1028 14.988
10.0525 2.10721 14.9993
10.0525 2.11162 15.0018
10.0525 2.11603 14.9949
10.0525 2.12044 14.9885
10.0525 2.12484 15.0061
10.0525 2.12925 14.9722
10.0525 2.13366 14.9642
10.0525 2.13807 15.0239
10.0525 2.14248 14.9653
10.0525 2.14689 14.9793
10.0525 2.15129 14.9943
10.0525 2.1557 14.9702
10.0525 2.16011 15.0123
10.0525 2.16452 15.0005
10.0525 2.16893 15.0037
10.0525 2.17334 15.0144
10.0525 2.17774 14.9779
10.0525 2.18215 14.9985
10.0525 2.18656 15.0176
10.0525 2.19097 15.0223
10.0525 2.19538 15.0183
10.0525 2.19979 15.0083
10.0525 2.20419 15.0011
10.0525 2.2086 15.0202
10.0525 2.21301 14.9964
10.0525 2.21742 15.0087
10.0525 2.22183 15.0179
10.0525 2.22624 14.9916
10.0525 2.23064 15.0181
10.0525 2.23505 15.0163
10.0525 2.23946 14.9773
10.0525 2.24387 15.0176
10.0525 2.24828 14.9981
10.0525 2.25269 15.012
10.0525 2.2571 14.9997
10.0525 2.2615 14.9637
10.0525 2.26591 14.943
10.0525 2.27032 14.9151
10.0525 2.27473 14.8954
10.0525 2.27914 14.9131
10.0525 2.28355 14.8461
10.0525 2.28795 14.8526
10.0525 2.29236 14.8443
10.0525 2.29677 14.8391
10.0525 2.30118 14.8135
10.0525 2.30559 14.8043
10.0525 2.31 14.8325
10.0525 2.3144 14.8411
10.0525 2.31881 14.8132
10.0525 2.32322 14.7804
10.0525 2.32763 14.8404
10.0525 2.33204 14.8124
10.0525 2.33645 14.8095
10.0525 2.34085 14.7996
10.0525 2.34526 14.7912
10.0525 2.34967 14.7867
10.0525 2.35408 14.8085
10.0525 2.35849 14.778
10.0525 2.3629 14.7867
10.0525 2.36731 14.7979
10.0525 2.37171 14.7967
10.0525 2.37612 14.7871
10.0525 2.38053 14.7749
10.0525 2.38494 14.7747
10.0525 2.38935 14.807
10.0525 2.39376 14.7956
10.0525 2.39816 14.7671
10.0525 2.40257 14.8098
10.0525 2.40698 14.798
10.0525 2.41139 14.794
10.0525 2.4158 14.8142
10.0525 2.42021 14.8115
10.0525 2.42461 14.8064
10.0525 2.42902 14.8016
10.0525 2.43343 14.7601
10.0525 2.43784 14.7737
10.0525 2.44225 14.7875
10.0525 2.44666 14.7937
10.0525 2.45106 14.7936
10.0525 2.45547 14.7787
10.0525 2.45988 14.7771
10.0525 2.46429 14.7875
10.0525 2.4687 14.7606
10.0525 2.47311 14.7675
10.0525 2.47751 14.7782
10.0525 2.48192 14.7752
10.0525 2.48633 14.7782
10.0525 2.49074 14.746
10.0525 2.49515 14.7327
10.0525 2.49956 14.7583
10.0525 2.50397 14.7618
10.0525 2.50837 14.7897
10.0525 2.51278 14.7946
10.0525 2.51719 14.7749
10.0525 2.5216 14.7698
10.0525 2.52601 14.7632
10.0525 2.53042 14.7608
10.0525 2.53482 14.7806
10.0525 2.53923 14.7574
10.0525 2.54364 14.7409
10.0525 2.54805 14.765
10.0525 2.55246 14.7655
10.0525 2.55687 14.757
10.0525 2.56127 14.745
10.0525 2.56568 14.7346
10.0525 2.57009 14.739
10.0525 2.5745 14.7139
10.0525 2.57891 14.775
10.0525 2.58332 14.744
10.0525 2.58772 14.7171
10.0525 2.59213 14.7269
10.0525 2.59654 14.7277
10.0525 2.60095 14.7007
10.0525 2.60536 14.7396
10.0525 2.60977 14.736
10.0525 2.61417 14.7518
10.0525 2.61858 14.7305
10.0525 2.62299 14.7222
10.0525 2.6274 14.7347
10.0525 2.63181 14.698
10.0525 2.63622 14.7147
10.0525 2.64063 14.7392
10.0525 2.64503 14.7033
10.0525 2.64944 14.7211
10.0525 2.65385 14.7531
10.0525 2.65826 14.7377
10.0525 2.66267 14.7427
10.0525 2.66708 14.7347
10.0525 2.67148 14.6943
10.0525 2.67589 14.7329
10.0525 2.6803 14.7628
10.0525 2.68471 14.7592
10.0525 2.68912 14.7011
10.0525 2.69353 14.7131
10.0525 2.69793 14.7503
10.0525 2.70234 14.7444
10.0525 2.70675 14.7501
10.0525 2.71116 14.788
10.0525 2.71557 14.727
10.0525 2.71998 14.7246
10.0525 2.72438 14.7705
10.0525 2.72879 14.7209
10.0525 2.7332 14.7427
10.0525 2.73761 14.7411
10.0525 2.74202 14.6956
10.0525 2.74643 14.7242
10.0525 2.75083 14.7056
10.0525 2.75524 14.715
10.0525 2.75965 14.7269
10.0525 2.76406 14.7009
10.0525 2.76847 14.7224
10.0525 2.77288 14.7558
10.0525 2.77729 14.7306
10.0525 2.78169 14.7217
10.0525 2.7861 14.7362
10.0525 2.79051 14.7181
10.0525 2.79492 14.7017
10.0525 2.79933 14.7176
10.0525 2.80374 14.7597
10.0525 2.80814 14.7194
10.0525 2.81255 14.7188
10.0525 2.81696 14.676
10.0525 2.82137 14.7415
10.0525 2.82578 14.7217
10.0525 2.83019 14.6877
10.0525 2.83459 14.7018
10.0525 2.839 14.6943
10.0525 2.84341 14.7142
10.0525 2.84782 14.7422
10.0525 2.85223 14.7543
10.0525 2.85664 14.7254
10.0525 2.86104 14.7157
10.0525 2.86545 14.6821
10.0525 2.86986 14.6976
10.0525 2.87427 14.6829
10.0525 2.87868 14.6716
10.0525 2.88309 14.652
10.0525 2.8875 14.7227
10.0525 2.8919 14.6836
10.0525 2.89631 14.6908
10.0525 2.90072 14.6926
10.0525 2.90513 14.703
10.0525 2.90954 14.6745
10.0525 2.91395 14.6617
10.0525 2.91835 14.6822
10.0525 2.92276 14.6806
10.0525 2.92717 14.646
10.0525 2.93158 14.6652
10.0525 2.93599 14.7282
10.0525 2.9404 14.6738
10.0525 2.9448 14.6154
10.0525 2.94921 14.6724
10.0525 2.95362 14.6862
10.0525 2.95803 14.6714
10.0525 2.96244 14.7193
10.0525 2.96685 14.6248
10.0525 2.97125 14.6129
10.0525 2.97566 14.7054
10.0525 2.98007 14.6406
10.0525 2.98448 14.6747
10.0525 2.98889 14.6887
10.0525 2.9933 14.7159
10.0525 2.9977 14.6759
10.0525 3.00211 14.6775
10.0525 3.00652 14.6724
10.0525 3.01093 14.6712
10.0525 3.01534 14.701
10.0525 3.01975 14.6382
10.0525 3.02416 14.6822
10.0525 3.02856 14.6687
10.0525 3.03297 14.6693
10.0525 3.03738 14.6819
10.0525 3.04179 14.6351
10.0525 3.0462 14.678
10.0525 3.05061 14.6191
10.0525 3.05501 14.5956
10.0525 3.05942 14.6288
10.0525 3.06383 14.6568
10.0525 3.06824 14.6452
10.0525 3.07265 14.6814
10.0525 3.07706 14.6485
10.0525 3.08146 14.701
10.0525 3.08587 14.6649
10.0525 3.09028 14.6459
10.0525 3.09469 14.6517
10.0525 3.0991 14.6496
10.0525 3.10351 14.6844
10.0525 3.10791 14.6791
10.0525 3.11232 14.6929
10.0525 3.11673 14.6336
10.0525 3.12114 14.6098
10.0525 3.12555 14.6291
10.0525 3.12996 14.6441
10.0525 3.13436 14.6136
10.0525 3.13877 14.6273
10.0525 3.14318 14.665
10.0525 3.14759 14.6578
10.0525 3.152 14.6611
10.0525 3.15641 14.6764
10.0525 3.16082 14.6136
10.0525 3.16522 14.6548
10.0525 3.16963 14.6417
10.0525 3.17404 14.6543
10.0525 3.17845 14.6258
10.0525 3.18286 14.666
10.0525 3.18727 14.6371
10.0525 3.19167 14.6202
10.0525 3.19608 14.6753
10.0525 3.20049 14.6724
10.0525 3.2049 14.6848
10.0525 3.20931 14.6483
10.0525 3.21372 14.6356
10.0525 3.21812 14.6611
10.0525 3.22253 14.6145
10.0525 3.22694 14.5442
10.0525 3.23135 14.6546
10.0525 3.23576 14.6715
10.0525 3.24017 14.6727
10.0525 3.24457 14.6542
10.0525 3.24898 14.6483
10.0525 3.25339 14.6303
10.0525 3.2578 14.5668
10.0525 3.26221 14.6054
10.0525 3.26662 14.6356
10.0525 3.27102 14.6182
10.0525 3.27543 14.6332
10.0525 3.27984 14.6844
10.0525 3.28425 14.6069
10.0525 3.28866 14.6136
10.0525 3.29307 14.6001
10.0525 3.29748 14.6281
10.0525 3.30188 14.5794
10.0525 3.30629 14.604
10.0525 3.3107 14.6679
10.0525 3.31511 14.614
10.0525 3.31952 14.6334
10.0525 3.32393 14.6146
10.0525 3.32833 14.6132
10.0525 3.33274 14.6454
10.0525 3.33715 14.6325
10.0525 3.34156 14.6698
10.0525 3.34597 14.651
10.0525 3.35038 14.6542
10.0525 3.35478 14.5457
10.0525 3.35919 14.5982
10.0525 3.3636 14.6785
10.0525 3.36801 14.5918
10.0525 3.37242 14.6336
10.0525 3.37683 14.6032
10.0525 3.38123 14.6317
10.0525 3.38564 14.6016
10.0525 3.39005 14.6434
10.0525 3.39446 14.6166
10.0525 3.39887 14.6492
10.0525 3.40328 14.6518
10.0525 3.40769 14.5745
10.0525 3.41209 14.5967
10.0525 3.4165 14.6247
10.0525 3.42091 14.6533
10.0525 3.42532 14.5937
10.0525 3.42973 14.6281
10.0525 3.43414 14.6264
10.0525 3.43854 14.6382
10.0525 3.44295 14.6643
10.0525 3.44736 14.5651
10.0525 3.45177 14.5938
10.0525 3.45618 14.6199
10.0525 3.46059 14.5852
10.0525 3.46499 14.6256
10.0525 3.4694 14.6294
10.0525 3.47381 14.618
10.0525 3.47822 14.5581
10.0525 3.48263 14.5422
10.0525 3.48704 14.6011
10.0525 3.49144 14.6056
10.0525 3.49585 14.6357
10.0525 3.50026 14.6338
10.0525 3.50467 14.6615
10.0525 3.50908 14.6646
10.0525 3.51349 14.6031
10.0525 3.51789 14.6155
10.0525 3.5223 14.6061
10.0525 3.52671 14.5811
10.0525 3.53112 14.6011
10.0525 3.53553 14.6481
10.0525 3.53994 14.624
10.0525 3.54434 14.6608
10.0525 3.54875 14.6111
10.0525 3.55316 14.6328
10.0525 3.55757 14.5496
10.0525 3.56198 14.5194
10.0525 3.56639 14.5932
10.0525 3.5708 14.6168
10.0525 3.5752 14.6273
10.0525 3.57961 14.6013
10.0525 3.58402 14.5413
10.0525 3.58843 14.5489
10.0525 3.59284 14.5793
10.0525 3.59725 14.6342
10.0525 3.60165 14.5871
10.0525 3.60606 14.576
10.0525 3.61047 14.67
10.0525 3.61488 14.6042
10.0525 3.61929 14.6206
10.0525 3.6237 14.5829
10.0525 3.6281 14.652
10.0525 3.63251 14.5445
10.0525 3.63692 14.5713
10.0525 3.64133 14.553
10.0525 3.64574 14.5929
10.0525 3.65015 14.6187
10.0525 3.65455 14.6247
10.0525 3.65896 14.5454
10.0525 3.66337 14.5621
10.0525 3.66778 14.5578
10.0525 3.67219 14.6322
10.0525 3.6766 14.5663
10.0525 3.68101 14.6078
10.0525 3.68541 14.5344
10.0525 3.68982 14.5803
10.0525 3.69423 14.5546
10.0525 3.69864 14.5775
10.0525 3.70305 14.6015
10.0525 3.70746 14.6061
10.0525 3.71186 14.618
10.0525 3.71627 14.5704
10.0525 3.72068 14.5503
10.0525 3.72509 14.5865
10.0525 3.7295 14.6252
10.0525 3.73391 14.5988
10.0525 3.73831 14.5928
10.0525 3.74272 14.6389
10.0525 3.74713 14.6244
10.0525 3.75154 14.5908
10.0525 3.75595 14.5931
10.0525 3.76036 14.6293
10.0525 3.76476 14.6433
10.0525 3.76917 14.658
10.0525 3.77358 14.6025
10.0525 3.77799 14.6215
10.0525 3.7824 14.6512
10.0525 3.78681 14.5769
10.0525 3.79121 14.5633
10.0525 3.79562 14.5503
10.0525 3.80003 14.6294
10.0525 3.80444 14.6003
10.0525 3.80885 14.5718
10.0525 3.81326 14.5612
10.0525 3.81767 14.5619
10.0525 3.82207 14.6134
10.0525 3.82648 14.6364
10.0525 3.83089 14.5761
10.0525 3.8353 14.6554
10.0525 3.83971 14.6164
10.0525 3.84412 14.5585
10.0525 3.84852 14.6288
10.0525 3.85293 14.6349
10.0525 3.85734 14.5785
10.0525 3.86175 14.4947
10.0525 3.86616 14.6278
10.0525 3.87057 14.5325
10.0525 3.87497 14.5645
10.0525 3.87938 14.6189
10.0525 3.88379 14.5547
10.0525 3.8882 14.5821
10.0525 3.89261 14.6273
10.0525 3.89702 14.6152
10.0525 3.90142 14.5947
10.0525 3.90583 14.642
10.0525 3.91024 14.5992
10.0525 3.91465 14.5973
10.0525 3.91906 14.554
10.0525 3.92347 14.5528
10.0525 3.92788 14.5636
10.0525 3.93228 14.6113
10.0525 3.93669 14.6176
10.0525 3.9411 14.5866
10.0525 3.94551 14.5863
10.0525 3.94992 14.5714
10.0525 3.95433 14.6768
10.0525 3.95873 14.6385
10.0525 3.96314 14.5203
10.0525 3.96755 14.6159
10.0525 3.97196 14.5589
10.0525 3.97637 14.5487
10.0525 3.98078 14.6448
10.0525 3.98518 14.5761
10.0525 3.98959 14.5446
10.0525 3.994 14.5267
10.0525 3.99841 14.5252
10.0525 4.00282 14.5718
10.0525 4.00723 14.5165
10.0525 4.01163 14.4979
10.0525 4.01604 14.5256
10.0525 4.02045 14.592
10.0525 4.02486 14.5729
10.0525 4.02927 14.5598
10.0525 4.03368 14.5297
10.0525 4.03808 14.5272
10.0525 4.04249 14.5591
10.0525 4.0469 14.5344
10.0525 4.05131 14.602
10.0525 4.05572 14.5711
10.0525 4.06013 14.5895
10.0525 4.06454 14.5336
10.0525 4.06894 14.4931
10.0525 4.07335 14.4652
10.0525 4.07776 14.5335
10.0525 4.08217 14.5749
10.0525 4.08658 14.622
10.0525 4.09099 14.5654
10.0525 4.09539 14.6351
